id,psnr,ssim,lpips
000000,27.010768717987183,0.7437618,0.11917050182819366
000001,23.422468438679065,0.80138034,0.053700484335422516
000002,28.193477221518904,0.8211433,0.07154936343431473
000003,24.011023551039862,0.6856893,0.11712801456451416
000004,27.41121255232588,0.7342644,0.16317033767700195
000005,27.081137102858897,0.7412464,0.15729264914989471
000006,27.800689153361215,0.8422444,0.055281758308410645
000007,29.383923323698657,0.82847714,0.056158341467380524
000008,27.35800989255265,0.80636835,0.0655207633972168
000009,25.319908991839654,0.76375884,0.08423896133899689
000010,26.3848303684942,0.7864444,0.08881854265928268
000011,23.109930131615926,0.7990934,0.045475684106349945
000012,24.151847282258572,0.7620624,0.13052494823932648
000013,26.048090206640083,0.80892736,0.07486658543348312
000014,28.485526974394233,0.83361524,0.06931697577238083
000015,26.419033300195967,0.8080786,0.04952956736087799
000016,28.385308242409366,0.77833086,0.09943398833274841
000017,27.10565454299763,0.7974345,0.056856341660022736
000018,26.81002773628531,0.79079676,0.0634467676281929
000019,23.399235608058714,0.7652061,0.07842321693897247
000020,29.262215208175746,0.8632495,0.04238796606659889
000021,27.0040968681918,0.7643016,0.12232938408851624
000022,25.61179193382238,0.7737083,0.09006473422050476
000023,27.224651972195378,0.73463106,0.18413373827934265
000024,24.692833464179845,0.71704024,0.11188536882400513
000025,28.464026454654977,0.8176937,0.08444654196500778
000026,24.054381697944653,0.75988054,0.07162382453680038
000027,22.270568939232064,0.6807087,0.04753280058503151
000028,28.579991369347432,0.86209005,0.05365367233753204
000029,28.695339862226295,0.64637583,0.12290937453508377
000030,28.137989421683358,0.83754104,0.10362367331981659
000031,21.80188625843777,0.63936406,0.13319458067417145
000032,29.939342477590518,0.88995165,0.05022626370191574
000033,20.8954903421035,0.5546164,0.226459801197052
000034,27.882734697605137,0.8196334,0.03893721103668213
000035,30.715773379304125,0.81671715,0.11835269629955292
000036,29.662014158194552,0.8415482,0.1269054412841797
000037,21.06538575107184,0.70721245,0.10890431702136993
000038,26.728040978480664,0.7778311,0.059580426663160324
000039,27.759248916920832,0.8046406,0.05587269365787506
000040,23.441984435984615,0.7628116,0.06659271568059921
000041,25.01446852545542,0.79565626,0.04404713585972786
000042,23.672548660389722,0.69929284,0.13695743680000305
000043,28.443987123077676,0.7293877,0.23585842549800873
000044,22.115468914748256,0.6764517,0.1871246099472046
000045,25.121331753323474,0.764205,0.07197914272546768
000046,25.61865214926548,0.7972494,0.05937393754720688
000047,28.3241702360147,0.84924275,0.060823552310466766
000048,25.945418892997147,0.78378993,0.16045667231082916
000049,26.075886866612628,0.8630238,0.04836129769682884
000050,28.486610588770063,0.7954214,0.10852773487567902
000051,28.031485685659785,0.8431292,0.0791996568441391
000052,29.127134901492674,0.8539502,0.03938300162553787
000053,26.6009185824282,0.7874489,0.09244632720947266
000054,27.864545946123826,0.7919752,0.08316833525896072
000055,23.40559461844358,0.7395785,0.08116230368614197
000056,28.967587889293036,0.85622025,0.049028653651475906
000057,27.23403602334507,0.79622453,0.08366312086582184
000058,25.314436424370772,0.7201181,0.08337821811437607
000059,25.578696057880492,0.80599433,0.07556861639022827
000060,25.425959878206687,0.7770488,0.09368856996297836
000061,25.029523753538125,0.6211607,0.2592845857143402
000062,32.06269692962454,0.9192746,0.03437895327806473
000063,23.61522187648714,0.6995905,0.1638534516096115
000064,27.146872845279432,0.75782293,0.14699013531208038
000065,24.02345460801714,0.774254,0.111331045627594
000066,26.371308478456132,0.71428233,0.13804684579372406
000067,23.142209382002786,0.74749255,0.05991732329130173
000068,29.501164554827007,0.8437255,0.0940462201833725
000069,29.178240571671093,0.7896791,0.08208029717206955
000070,23.1672426480792,0.788163,0.06611856818199158
