image_id,attack_type,hamming_distance
000187,QPP_Self_Decoded,47
000188,QPP_Self_Decoded,56
000189,QPP_Self_Decoded,45
000190,QPP_Self_Decoded,47
000191,QPP_Self_Decoded,45
000192,QPP_Self_Decoded,34
000193,QPP_Self_Decoded,50
000194,QPP_Self_Decoded,50
000195,QPP_Self_Decoded,51
000196,QPP_Self_Decoded,43
000197,QPP_Self_Decoded,57
000198,QPP_Self_Decoded,48
000199,QPP_Self_Decoded,39
000200,QPP_Self_Decoded,35
000201,QPP_Self_Decoded,46
000202,QPP_Self_Decoded,56
000203,QPP_Self_Decoded,42
000204,QPP_Self_Decoded,62
000205,QPP_Self_Decoded,43
000206,QPP_Self_Decoded,39
000207,QPP_Self_Decoded,51
000208,QPP_Self_Decoded,57
000209,QPP_Self_Decoded,46
000210,QPP_Self_Decoded,45
000211,QPP_Self_Decoded,45
000212,QPP_Self_Decoded,46
000213,QPP_Self_Decoded,54
000214,QPP_Self_Decoded,48
000215,QPP_Self_Decoded,56
000216,QPP_Self_Decoded,45
000217,QPP_Self_Decoded,47
000218,QPP_Self_Decoded,53
000219,QPP_Self_Decoded,52
000220,QPP_Self_Decoded,33
000221,QPP_Self_Decoded,54
000222,QPP_Self_Decoded,45
000223,QPP_Self_Decoded,51
000224,QPP_Self_Decoded,28
000225,QPP_Self_Decoded,45
000226,QPP_Self_Decoded,42
000227,QPP_Self_Decoded,50
000228,QPP_Self_Decoded,50
000229,QPP_Self_Decoded,26
000230,QPP_Self_Decoded,51
000231,QPP_Self_Decoded,46
000232,QPP_Self_Decoded,57
000233,QPP_Self_Decoded,30
000234,QPP_Self_Decoded,45
000235,QPP_Self_Decoded,47
000236,QPP_Self_Decoded,43
000237,QPP_Self_Decoded,53
000238,QPP_Self_Decoded,36
000239,QPP_Self_Decoded,49
000240,QPP_Self_Decoded,40
000241,QPP_Self_Decoded,56
000242,QPP_Self_Decoded,43
000243,QPP_Self_Decoded,48
000244,QPP_Self_Decoded,60
000245,QPP_Self_Decoded,41
000246,QPP_Self_Decoded,42
000247,QPP_Self_Decoded,49
000248,QPP_Self_Decoded,54
000249,QPP_Self_Decoded,51
000250,QPP_Self_Decoded,45
000251,QPP_Self_Decoded,48
000252,QPP_Self_Decoded,58
000253,QPP_Self_Decoded,46
000254,QPP_Self_Decoded,53
000255,QPP_Self_Decoded,53
000256,QPP_Self_Decoded,40
000257,QPP_Self_Decoded,47
000258,QPP_Self_Decoded,53
000259,QPP_Self_Decoded,34
000260,QPP_Self_Decoded,57
000261,QPP_Self_Decoded,54
000262,QPP_Self_Decoded,37
000263,QPP_Self_Decoded,38
000264,QPP_Self_Decoded,51
000265,QPP_Self_Decoded,65
000266,QPP_Self_Decoded,52
000267,QPP_Self_Decoded,50
000268,QPP_Self_Decoded,37
000269,QPP_Self_Decoded,50
000270,QPP_Self_Decoded,40
000271,QPP_Self_Decoded,40
000272,QPP_Self_Decoded,56
000273,QPP_Self_Decoded,49
000274,QPP_Self_Decoded,46
000275,QPP_Self_Decoded,48
000276,QPP_Self_Decoded,39
000277,QPP_Self_Decoded,42
000278,QPP_Self_Decoded,49
000279,QPP_Self_Decoded,32
000280,QPP_Self_Decoded,57
000281,QPP_Self_Decoded,50
000282,QPP_Self_Decoded,51
000283,QPP_Self_Decoded,49
000284,QPP_Self_Decoded,35
000285,QPP_Self_Decoded,64
000286,QPP_Self_Decoded,50
000287,QPP_Self_Decoded,33
000288,QPP_Self_Decoded,43
000289,QPP_Self_Decoded,49
000290,QPP_Self_Decoded,61
000291,QPP_Self_Decoded,46
000292,QPP_Self_Decoded,56
000293,QPP_Self_Decoded,48
000294,QPP_Self_Decoded,47
000295,QPP_Self_Decoded,44
000296,QPP_Self_Decoded,36
000297,QPP_Self_Decoded,58
000298,QPP_Self_Decoded,49
000299,QPP_Self_Decoded,47
